,i,dec,cla,fid,id,op,<,>,{,},;,ret,cout,cin,f,el,for,(,),$,A,I,D,C,F,cls,fun,S,O,B,E,if,else,in,B',loop,counts
64,,,,,,s57,,,,,s72,,,,,,,,,,,,,,,,,,,,,,,,,,2
65,,,,,r14,,,,,r14,,s66,r14,r14,r14,,r14,,,,,,,,,,,,,,,,,,,,7
66,,,,,r12,,,,,r12,,r12,r12,r12,r12,,r12,,,,,,,,,,,,,,,,,,,,7
67,,,,,r15,,,,,r15,,s66,r15,r15,r15,,r15,,,,,,,,,,,,,,,,,,,,7
68,,,,,r16,,,,,r16,,s66,r16,r16,r16,,r16,,,,,,,,,,,,,,,,,,,,7
69,,,,,r18,,,,,r18,,s66,r18,r18,r18,,r18,,,,,,,,,,,,,,,,,,,,7
70,,,,,r17,,,,,r17,,s66,r17,r17,r17,,r17,,,,,,,,,,,,,,,,,,,,7
71,,,,,s30,,,,,r19,,r19,s31,s32,s33,,s34,,,,,,,,,,,52,25,,24,27,,26,,28,13
72,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,2
73,,,,,,s57,,,,,s74,,,,,,,,,,,,,,,,,,,,,,,,,,2
74,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,2
75,,,,,,s57,,,,,,,,,,,,,s76,,,,,,,,,,,,,,,,,,2
76,,,,,,,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,,,,,s30,,,,,r19,,r19,s31,s32,s33,,s34,,,,,,,,,,,78,25,,24,27,,26,,28,13
78,,,,,,,,,,s79,,s66,,,,,,,,,,,,,,,,,,,,,,,,,2
79,,,,,r30,,,,,r30,,r30,r30,r30,r30,,r30,,,,,,,,,,,,,,,,,,,,7
80,,,,,r22,,,,,r22,,r22,r22,r22,r22,,r22,,,,,,,,,,,,,,,,,,,,
81,,,,,r27,,,,,r27,,r27,r27,r27,r27,,r27,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,s30,,,,,,,,s31,s32,s33,,s34,,,,,,,,,,,84,25,,24,27,,26,,28,11
84,,,,,,,,,,s85,,s66,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,r29,,,,,,r29,r29,r29,r29,r29,,r29,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s30,,,,,,,,s31,s32,s33,,s34,,,,,,,,,,,,25,,24,27,,26,,28,10
